Time,Plant alarm,Water alarm,Moisture level,Ambient light
2023_06_01_18_20,plant_alarm_topic1,1,moisture_topic1,ambient_light_topic1
2023_06_01_18_20,plant_alarm_topic1,1,moisture_topic1,ambient_light_topic1
2023_06_01_18_20,plant_alarm_topic1,1,moisture_topic1,ambient_light_topic1
2023_06_01_18_20,plant_alarm_topic1,1,moisture_topic1,ambient_light_topic1
2023_06_01_18_20,plant_alarm_topic1,1,moisture_topic1,ambient_light_topic1
2023_06_01_18_20,plant_alarm_topic1,1,moisture_topic1,ambient_light_topic1
2023_06_01_18_21,plant_alarm_topic1,1,moisture_topic1,ambient_light_topic1
2023_06_01_18_21,plant_alarm_topic1,1,moisture_topic1,ambient_light_topic1
2023_06_01_18_21,plant_alarm_topic1,1,moisture_topic1,ambient_light_topic1
2023_06_01_18_21,plant_alarm_topic1,1,moisture_topic1,ambient_light_topic1
2023_06_01_18_21,plant_alarm_topic1,1,moisture_topic1,ambient_light_topic1
2023_06_01_18_26,plant_alarm_topic1,1,moisture_topic1,ambient_light_topic1
2023_06_01_18_27,plant_alarm_topic1,1,moisture_topic1,ambient_light_topic1
2023_06_01_18_27,plant_alarm_topic1,1,moisture_topic1,ambient_light_topic1
2023_06_01_18_27,plant_alarm_topic1,1,moisture_topic1,ambient_light_topic1
2023_06_01_18_27,plant_alarm_topic1,1,moisture_topic1,ambient_light_topic1
2023_06_01_18_27,plant_alarm_topic1,1,moisture_topic1,ambient_light_topic1
2023_06_01_18_27,plant_alarm_topic1,1,moisture_topic1,ambient_light_topic1
2023_06_01_18_27,plant_alarm_topic1,1,moisture_topic1,ambient_light_topic1
2023_06_01_18_27,plant_alarm_topic1,1,moisture_topic1,ambient_light_topic1
2023_06_01_18_28,plant_alarm_topic1,1,moisture_topic1,ambient_light_topic1
2023_06_01_18_28,plant_alarm_topic1,1,moisture_topic1,ambient_light_topic1
2023_06_01_18_28,plant_alarm_topic1,1,moisture_topic1,ambient_light_topic1
2023_06_01_18_35,0,0,0,65
2023_06_01_18_36,0,0,1,64
2023_06_01_18_37,0,0,0,59
2023_06_01_18_38,0,0,0,64
2023_06_01_18_39,0,0,1,66
2023_06_01_18_40,1,1,93,65
2023_06_01_18_41,0,0,0,65
2023_06_01_18_42,0,0,1,67
2023_06_01_18_43,0,0,1,67
