Time,Plant alarm,Water alarm,Moisture level,Ambient light
2023_06_01_20_57,0,0,80,1
2023_06_01_20_57,0,0,80,1
2023_06_01_20_58,0,0,80,1
2023_06_01_20_58,0,0,80,1
2023_06_01_20_59,0,0,80,1
2023_06_01_20_59,0,0,80,1
2023_06_01_21_00,0,0,80,1
2023_06_01_21_00,0,0,80,1
2023_06_01_21_01,0,0,81,1
2023_06_01_21_01,0,0,80,1
2023_06_01_21_02,0,0,80,1
2023_06_01_21_02,0,0,80,1
2023_06_01_21_03,0,0,80,1
2023_06_01_21_03,0,0,80,1
2023_06_01_21_04,0,0,80,1
2023_06_01_21_04,0,0,80,1
2023_06_01_21_05,0,0,80,1
2023_06_01_21_05,0,0,80,1
2023_06_01_21_06,0,0,80,1
2023_06_01_21_06,0,0,81,1
2023_06_01_21_07,0,0,80,1
2023_06_01_21_07,0,0,80,1
2023_06_01_21_08,0,0,80,1
2023_06_01_21_08,0,0,80,1
2023_06_01_21_09,0,0,81,1
2023_06_01_21_09,0,0,81,1
2023_06_01_21_10,0,0,81,1
2023_06_01_21_10,0,0,80,1
2023_06_01_21_11,0,0,80,1
2023_06_01_21_11,0,0,80,1
2023_06_01_21_12,0,0,81,1
2023_06_01_21_12,0,0,80,1
2023_06_01_21_13,0,0,80,1
2023_06_01_21_13,0,0,80,1
2023_06_01_21_14,0,0,80,1
2023_06_01_21_14,0,0,81,1
2023_06_01_21_15,0,0,80,1
2023_06_01_21_15,0,0,80,1
2023_06_01_21_16,0,0,80,1
2023_06_01_21_16,0,0,81,1
2023_06_01_21_17,0,0,80,1
2023_06_01_21_17,0,0,80,1
2023_06_01_21_18,0,0,81,1
2023_06_01_21_18,0,0,80,1
2023_06_01_21_19,0,0,80,1
2023_06_01_21_19,0,0,81,1
2023_06_01_21_20,0,0,80,1
2023_06_01_21_20,0,0,81,1
2023_06_01_21_21,0,0,81,1
2023_06_01_21_21,0,0,81,1
2023_06_01_21_22,0,0,81,1
2023_06_01_21_22,0,0,80,1
2023_06_01_21_23,0,0,81,1
2023_06_01_21_23,0,0,81,1
2023_06_01_21_24,0,0,80,1
2023_06_01_21_24,0,0,80,1
2023_06_01_21_25,0,0,80,1
2023_06_01_21_25,0,0,80,1
2023_06_01_21_26,0,0,81,1
2023_06_01_21_26,0,0,81,1
2023_06_01_21_27,0,0,80,1
2023_06_01_21_27,0,0,80,1
2023_06_01_21_28,0,0,80,1
2023_06_01_21_28,0,0,81,1
2023_06_01_21_29,0,0,81,1
2023_06_01_21_29,0,0,80,1
2023_06_01_21_30,0,0,80,70
2023_06_01_21_30,0,0,80,71
2023_06_01_21_31,0,0,80,1
2023_06_01_21_31,0,0,81,1
2023_06_01_21_32,0,0,80,1
2023_06_01_21_32,0,0,80,1
2023_06_01_21_33,0,0,80,1
2023_06_01_21_33,0,0,80,1
2023_06_01_21_34,0,0,80,1
2023_06_01_21_34,0,0,81,1
2023_06_01_21_35,0,0,81,1
2023_06_01_21_35,0,0,80,1
2023_06_01_21_36,0,0,80,1
2023_06_01_21_36,0,0,81,1
2023_06_01_21_37,0,0,81,1
2023_06_01_21_37,0,0,81,1
2023_06_01_21_38,0,0,80,1
2023_06_01_21_38,0,0,80,1
2023_06_01_21_39,0,0,81,1
2023_06_01_21_39,0,0,81,1
2023_06_01_21_40,0,0,80,1
2023_06_01_21_40,0,0,81,1
2023_06_01_21_41,0,0,81,1
2023_06_01_21_41,0,0,81,1
2023_06_01_21_42,0,0,80,1
2023_06_01_21_42,0,0,81,1
2023_06_01_21_43,0,0,80,1
2023_06_01_21_43,0,0,81,1
2023_06_01_21_44,0,0,81,1
2023_06_01_21_44,0,0,81,1
2023_06_01_21_45,0,0,81,1
2023_06_01_21_45,0,0,81,1
2023_06_01_21_46,0,0,81,1
2023_06_01_21_46,0,0,81,1
2023_06_01_21_47,0,0,81,1
2023_06_01_21_47,0,0,81,1
2023_06_01_21_48,0,0,81,1
2023_06_01_21_48,0,0,81,1
2023_06_01_21_49,0,0,81,1
2023_06_01_21_49,0,0,81,1
2023_06_01_21_50,0,0,81,1
2023_06_01_21_50,0,0,81,1
2023_06_01_21_51,0,0,80,1
2023_06_01_21_51,0,0,81,1
2023_06_01_21_52,0,0,81,1
2023_06_01_21_52,0,0,81,1
2023_06_01_21_53,0,0,81,1
2023_06_01_21_53,0,0,81,1
2023_06_01_21_54,0,0,81,1
2023_06_01_21_54,0,0,81,1
2023_06_01_21_55,0,0,81,1
2023_06_01_21_55,0,0,81,1
2023_06_01_21_56,0,0,80,1
2023_06_01_21_56,0,0,80,1
2023_06_01_21_57,0,0,81,1
2023_06_01_21_57,0,0,81,1
2023_06_01_21_58,0,0,81,1
2023_06_01_21_58,0,0,80,1
2023_06_01_21_59,0,0,81,1
2023_06_01_21_59,0,0,81,1
2023_06_01_22_00,0,0,81,1
2023_06_01_22_00,0,0,81,1
2023_06_01_22_01,0,0,81,1
2023_06_01_22_01,0,0,81,1
2023_06_01_22_02,0,0,81,1
2023_06_01_22_02,0,0,81,1
2023_06_01_22_03,0,0,81,1
2023_06_01_22_03,0,0,81,1
2023_06_01_22_04,0,0,81,1
2023_06_01_22_04,0,0,81,1
2023_06_01_22_05,0,0,81,1
2023_06_01_22_05,0,0,81,1
2023_06_01_22_06,0,0,81,1
2023_06_01_22_06,0,0,81,1
2023_06_01_22_07,0,0,81,1
2023_06_01_22_07,0,0,81,1
2023_06_01_22_08,0,0,81,1
2023_06_01_22_08,0,0,81,1
2023_06_01_22_09,0,0,81,1
2023_06_01_22_09,0,0,81,1
2023_06_01_22_10,0,0,81,1
2023_06_01_22_10,0,0,81,1
2023_06_01_22_11,0,0,81,1
2023_06_01_22_11,0,0,81,1
2023_06_01_22_12,0,0,80,1
2023_06_01_22_12,0,0,81,1
2023_06_01_22_13,0,0,81,1
2023_06_01_22_13,0,0,81,1
2023_06_01_22_14,0,0,81,1
2023_06_01_22_14,0,0,81,1
2023_06_01_22_15,0,0,81,1
2023_06_01_22_15,0,0,81,1
2023_06_01_22_16,0,0,81,1
2023_06_01_22_16,0,0,81,1
2023_06_01_22_17,0,0,81,1
2023_06_01_22_17,0,0,81,1
2023_06_01_22_18,0,0,80,1
2023_06_01_22_18,0,0,81,1
2023_06_01_22_19,0,0,81,1
2023_06_01_22_19,0,0,81,1
2023_06_01_22_20,0,0,81,1
2023_06_01_22_20,0,0,81,1
2023_06_01_22_21,0,0,81,1
2023_06_01_22_21,0,0,82,1
2023_06_01_22_22,0,0,81,1
2023_06_01_22_22,0,0,81,1
2023_06_01_22_23,0,0,81,1
2023_06_01_22_23,0,0,81,1
2023_06_01_22_24,0,0,81,1
2023_06_01_22_24,0,0,81,1
2023_06_01_22_25,0,0,81,1
2023_06_01_22_25,0,0,81,1
2023_06_01_22_26,0,0,81,1
2023_06_01_22_26,0,0,81,1
2023_06_01_22_27,0,0,81,1
2023_06_01_22_27,0,0,81,1
2023_06_01_22_28,0,0,80,1
2023_06_01_22_28,0,0,81,1
2023_06_01_22_29,0,0,81,1
2023_06_01_22_29,0,0,81,1
2023_06_01_22_30,0,0,81,1
2023_06_01_22_30,0,0,81,1
2023_06_01_22_31,0,0,81,1
2023_06_01_22_31,0,0,82,1
2023_06_01_22_32,0,0,81,1
2023_06_01_22_32,0,0,81,1
2023_06_01_22_33,0,0,81,1
2023_06_01_22_33,0,0,81,1
2023_06_01_22_34,0,0,81,1
2023_06_01_22_34,0,0,81,1
2023_06_01_22_35,0,0,81,1
2023_06_01_22_35,0,0,81,1
2023_06_01_22_36,0,0,81,1
2023_06_01_22_36,0,0,81,1
2023_06_01_22_37,0,0,81,1
2023_06_01_22_37,0,0,81,1
2023_06_01_22_38,0,0,81,1
2023_06_01_22_38,0,0,81,1
2023_06_01_22_39,0,0,81,1
2023_06_01_22_39,0,0,81,1
2023_06_01_22_40,0,0,81,1
2023_06_01_22_40,0,0,81,1
2023_06_01_22_41,0,0,81,1
2023_06_01_22_41,0,0,81,1
2023_06_01_22_42,0,0,81,1
2023_06_01_22_42,0,0,81,1
2023_06_01_22_43,0,0,82,1
2023_06_01_22_43,0,0,81,1
2023_06_01_22_44,0,0,81,1
2023_06_01_22_44,0,0,81,1
2023_06_01_22_45,0,0,81,1
2023_06_01_22_45,0,0,81,1
2023_06_01_22_46,0,0,81,1
2023_06_01_22_46,0,0,81,1
2023_06_01_22_47,0,0,81,1
2023_06_01_22_47,0,0,81,1
2023_06_01_22_48,0,0,81,1
2023_06_01_22_48,0,0,81,1
2023_06_01_22_49,0,0,82,1
2023_06_01_22_49,0,0,81,1
2023_06_01_22_50,0,0,81,1
2023_06_01_22_50,0,0,81,1
2023_06_01_22_51,0,0,81,1
2023_06_01_22_51,0,0,82,1
2023_06_01_22_52,0,0,82,1
2023_06_01_22_52,0,0,81,1
2023_06_01_22_53,0,0,81,1
2023_06_01_22_53,0,0,81,1
2023_06_01_22_54,0,0,81,1
2023_06_01_22_54,0,0,81,1
2023_06_01_22_55,0,0,81,1
2023_06_01_22_55,0,0,81,1
2023_06_01_22_56,0,0,82,1
2023_06_01_22_56,0,0,81,1
2023_06_01_22_57,0,0,81,1
2023_06_01_22_57,0,0,81,1
2023_06_01_22_58,0,0,81,1
2023_06_01_22_58,0,0,81,1
2023_06_01_22_59,0,0,81,1
2023_06_01_22_59,0,0,81,1
2023_06_01_23_00,0,0,82,1
2023_06_01_23_00,0,0,82,1
2023_06_01_23_01,0,0,81,1
2023_06_01_23_01,0,0,81,1
2023_06_01_23_02,0,0,81,1
